genome_ID	OTU	NCBI_ID	novelty_category
Otu522.1	41294	374	new_species
Otu522.0	41294	85413	new_species
Otu984	987045	987045	known_strain
Otu981	323097	323097	known_strain
Otu980	521096	521096	known_strain
Otu212.1	286	43263	new_strain
Otu212.0	286	1144338	new_strain
Otu823	1760	1760	new_order
Otu820	218284	218284	new_strain
Otu821	43263	43263	new_strain
Otu824	520709	520709	known_strain
Otu337.0	286	1387231	known_strain
Otu107.0	119060	106589	new_species
Otu257.0	1298	243230	known_strain
Otu725	1121335	1121335	known_strain
Otu491.0	80864	1690268	new_strain
Otu491.1	80864	1144318	new_strain
Otu981.0	658061	204669	known_strain
Otu1043	1353246	1353246	known_strain
Otu528	1410620	1410620	new_strain
Otu1046	82115	82115	new_genus
Otu493.0	1883	455632	known_strain
Otu1048	1343740	1343740	known_strain
Otu701.0	213119	1304886	known_strain
Otu526.0	1663	1312954	known_strain
Otu692.1	135621	294	new_strain
Otu692.0	135621	316	known_strain
Otu828.0	85030	526225	known_strain
Otu987.1	75682	75682	new_genus
Otu265.0	1386	720555	known_strain
Otu850.0	80864	1882774	new_strain
Otu80.1	80864	1690268	new_strain
Otu80.0	80864	758826	new_strain
Otu247.0	2070	1120948	known_strain
Otu451.0	1279	1159488	known_strain
Otu331.0	568386	1123261	known_strain
Otu241.0	83676	1205910	known_strain
Otu790	469371	469371	known_strain
Otu1037	119060	119060	new_genus
Otu1086.0	75682	75682	new_genus
Otu1039	358823	358823	known_strain
Otu1038	591167	591167	known_strain
Otu952	294	294	new_strain
Otu953	85413	85413	new_species
Otu774	1760	1760	new_order
Otu956	1173027	1173027	known_strain
Otu957	85413	85413	new_species
Otu771	1760	1760	new_order
Otu677	1760	1760	new_order
Otu892	1267600	1267600	known_strain
Otu891	1144338	1144338	new_strain
Otu890	690598	690598	known_strain
Otu897	379	379	new_species
Otu778	1510531	1510531	new_strain
Otu894	523850	523850	known_strain
Otu261.1	41275	41275	new_species
Otu983	652017	652017	known_strain
Otu590.0	1298	546414	known_strain
Otu352.0	41294	85413	new_species
Otu982	358220	358220	new_strain
Otu370.0	41294	85413	new_species
Otu592.0	392733	401053	known_strain
Otu86.0	85413	85413	new_species
Otu300.0	31	246197	known_strain
Otu162.0	1663	1663	new_species
Otu1.0	1883	1214242	known_strain
Otu7.0	1883	1463864	known_strain
Otu460.0	379	1432050	known_strain
Otu9.0	119060	106589	new_species
Otu22.0	237	1107311	known_strain
Otu96.0	83618	1736576	new_strain
Otu1087	337191	337191	known_strain
Otu1084	1217721	1217721	known_strain
Otu1085	20	20	new_species
Otu822.0	119060	106589	new_species
Otu28.0	119060	1218084	known_strain
Otu1088	529	529	known_strain
Otu874	1356854	1356854	known_strain
Otu877	164546	164546	new_strain
Otu876	452863	452863	known_strain
Otu871	1206781	1206781	known_strain
Otu873	251221	251221	known_strain
Otu872	1439940	1439940	known_strain
Otu406.0	59732	491205	known_strain
Otu878	1268	1268	new_genus
Otu673.0	206379	323848	known_strain
Otu434.0	219687	861299	known_strain
Otu654	1760	1760	new_order
Otu1043.0	332162	234267	known_strain
Otu584.0	32033	32033	new_genus
Otu582.0	44249	1196323	known_strain
Otu416.0	119060	119060	new_genus
Otu1027	358	358	new_strain
Otu1073	292459	292459	known_strain
Otu1072	756499	756499	known_strain
Otu1071	91347	91347	new_family
Otu1070	82115	82115	new_genus
Otu1076	290340	290340	known_strain
Otu738	1760	1760	new_order
Otu739	1760	1760	new_order
Otu14.0	286	1144338	new_strain
Otu735	12916	12916	new_species
Otu476.0	188786	277	known_strain
Otu64.0	76890	76890	new_species
Otu3.0	379	384	new_strain
Otu754.0	28256	553385	known_strain
Otu645	1760	1760	new_order
Otu392.0	80864	12916	new_species
Otu830.0	69277	69277	new_genus
Otu250.0	45401	46914	new_strain
Otu905	315750	315750	known_strain
