genome	size
1005941.PRJNA171367.fasta	3426806
1038862.PRJNA170887.fasta	9002274
1038866.PRJNA165325.fasta	8871253
1041930.PRJNA73221.fasta	2378438
1048983.PRJNA245774.fasta	5429412
1050202.PRJNA78921.fasta	4233350
106592.PRJNA247817.fasta	7280736
1068978.PRJNA173670.fasta	7237391
1089545.PRJNA165347.fasta	10858503
1089549.PRJNA86067.fasta	3535420
1096756.PRJNA208966.fasta	3637432
1107311.PRJNA221771.fasta	3375334
1120936.PRJNA185238.fasta	6710579
1120948.PRJNA165357.fasta	5861079
1120949.PRJNA165359.fasta	10988507
1120950.PRJNA169810.fasta	7983713
1120967.PRJNA185542.fasta	5781275
1120971.PRJNA185546.fasta	3271344
1120973.PRJNA174171.fasta	3363659
1120985.PRJNA188816.fasta	3337859
1121033.PRJNA185555.fasta	6508538
1121125.PRJNA188849.fasta	3164529
1121272.PRJNA165369.fasta	7688589
1121288.PRJNA188854.fasta	2981117
1121335.PRJNA181307.fasta	2974379
1121342.PRJNA194074.fasta	3010772
1121346.PRJNA182399.fasta	4476185
1121353.PRJNA190670.fasta	2839551
1121362.PRJNA168616.fasta	3135752
1121372.PRJNA188856.fasta	2945007
1121377.PRJNA183018.fasta	4452642
1121385.PRJNA182401.fasta	3574776
1121917.PRJNA165395.fasta	3059517
1121926.PRJNA188906.fasta	5045825
1123261.PRJNA195811.fasta	4183342
1124780.PRJNA182711.fasta	4805697
1128398.PRJNA79221.fasta	3105335
1131730.PRJNA80825.fasta	5289158
1131731.PRJNA80827.fasta	4223247
1136417.PRJNA169836.fasta	5469090
1150621.PRJNA84417.fasta	3175729
1150864.PRJNA84455.fasta	7325824
1156918.PRJNA86069.fasta	3899625
1156919.PRJNA86071.fasta	6892201
1159488.PRJEA88899.fasta	2927201
1173027.PRJNA158839.fasta	7470429
1174504.PRJNA159255.fasta	4590719
1178482.PRJNA214306.fasta	4758798
1196323.PRJNA167831.fasta	6931972
1200352.PRJNA168617.fasta	2751233
1202532.PRJNA169163.fasta	5336938
1205910.PRJNA169662.fasta	5848211
1206777.PRJNA170013.fasta	4982906
1206781.PRJNA170044.fasta	6553720
1214102.PRJNA170443.fasta	6349738
1214242.PRJNA171216.fasta	8272925
1217712.PRJNA183309.fasta	4047559
1217715.PRJNA183332.fasta	3657694
1217718.PRJNA171721.fasta	5871558
1217720.PRJNA171724.fasta	4719483
1217721.PRJNA254093.fasta	4831185
1218084.PRJDB257.fasta	9926029
1223523.PRJNA188290.fasta	7477811
1238237.PRJNA176510.fasta	1218480
1246995.PRJNA178199.fasta	9376071
1254432.PRJNA179502.fasta	14782125
1262454.PRJNA182080.fasta	5035105
1267600.PRJNA239657.fasta	4091160
1267981.PRJNA232073.fasta	2925482
1283299.PRJNA186462.fasta	5695238
1285583.PRJNA186910.fasta	3113488
1285586.PRJNA186959.fasta	4858502
1286171.PRJNA187031.fasta	2246262
1292035.PRJNA188694.fasta	3571992
1295141.PRJNA189715.fasta	6680099
1298859.PRJNA190816.fasta	7244857
1298862.PRJNA190819.fasta	5641932
1303518.PRJEB1573.fasta	3437861
1304866.PRJNA195881.fasta	5723672
1304886.PRJNA195832.fasta	5118760
1312954.PRJNA232074.fasta	3076621
1312959.PRJNA232079.fasta	3894834
1316927.PRJNA196427.fasta	6194050
1343740.PRJNA207502.fasta	12700734
1345695.PRJNA217481.fasta	5107814
1353246.PRJNA210247.fasta	1762995
1356854.PRJNA210955.fasta	4063548
1365176.PRJNA212068.fasta	1750259
1367847.PRJNA212980.fasta	3613807
1380394.PRJNA213782.fasta	6646896
1380763.PRJNA238415.fasta	3038461
1387231.PRJNA215329.fasta	6658235
1400520.PRJNA219157.fasta	3580413
1404245.PRJNA221205.fasta	3509786
1405.PRJNA243593.fasta	5228024
1406.PRJNA261104.fasta	5762608
1408254.PRJNA223198.fasta	5545940
1417988.PRJNA226735.fasta	3902111
1419583.PRJNA227201.fasta	6691076
1429046.PRJNA229768.fasta	6477549
1432050.PRJNA230502.fasta	4475387
1439940.PRJNA232351.fasta	4865289
1441930.PRJNA232738.fasta	5485588
1449976.PRJNA235190.fasta	9874926
1459636.PRJNA235208.fasta	2954373
1463864.PRJNA238534.fasta	7063276
1501230.PRJNA246682.fasta	8033195
1523621.PRJNA255748.fasta	3846862
1927.PRJNA242829.fasta	8197540
196162.PRJNA12738.fasta	4985871
204669.PRJNA15771.fasta	5650368
208439.PRJNA251529.fasta	8961318
219305.PRJNA33595.fasta	6819904
234267.PRJNA12638.fasta	9965640
236814.PRJNA256039.fasta	4364663
243230.PRJNA65.fasta	3060986
246197.PRJNA1421.fasta	9139763
251221.PRJNA9606.fasta	4659019
253839.PRJNA33601.fasta	8461333
277.PRJNA260561.fasta	3023481
287986.PRJNA244719.fasta	9202418
290340.PRJNA12512.fasta	4597686
290397.PRJNA12634.fasta	5013479
290402.PRJNA12637.fasta	6000632
292459.PRJNA12994.fasta	3566135
307480.PRJNA255945.fasta	5487842
311403.PRJNA13402.fasta	6656043
315749.PRJNA13624.fasta	4087024
315750.PRJNA20391.fasta	3704465
316.PRJNA240232.fasta	4731359
316330.PRJNA201009.fasta	8543819
320771.PRJNA20839.fasta	7414222
321846.PRJNA245780.fasta	6169071
323097.PRJNA13473.fasta	4406967
323098.PRJNA13474.fasta	3402093
323848.PRJNA13912.fasta	3184243
324057.PRJNA20399.fasta	7184930
337191.PRJNA50495.fasta	5441391
345341.PRJNA38053.fasta	11646492
350054.PRJNA15760.fasta	5619607
357809.PRJNA16184.fasta	4847594
358823.PRJNA242835.fasta	9381854
365046.PRJNA16294.fasta	4070193
3823_A.fasta	5462329
3823_AA.fasta	7808587
3823_AB.fasta	6450400
3823_AC.fasta	4054551
3823_AD.fasta	7486156
3823_AE.fasta	4142767
3823_AG.fasta	6329093
3823_AH.fasta	6642739
3823_AI.fasta	5273517
3823_AJ.fasta	5923416
3823_AK.fasta	5660134
3823_AL.fasta	2850810
3823_AM.fasta	7490024
3823_AN.fasta	7016330
3823_AO.fasta	3717215
3823_AP.fasta	6762676
3823_AQ.fasta	5725882
3823_AS.fasta	6623102
3823_AT.fasta	6694376
3823_AW.fasta	11672195
3823_AX.fasta	6023422
3823_B.fasta	7634858
3823_C.fasta	5542512
3823_D.fasta	4715201
3823_E.fasta	7156009
3823_F.fasta	7044772
3823_G.fasta	5696022
3823_H.fasta	4520579
3823_I.fasta	4618281
3823_J.fasta	6874844
3823_K.fasta	8780833
3823_L.fasta	5775662
