@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2157	superkingdom	2157	Archaea	0.0000		
10239	superkingdom	10239	Viruses	0.5609		
2	superkingdom	2	Bacteria	39.5805		
2759	superkingdom	2759	Eukaryota	0.4015		
976	phylum	2|976	Bacteria|Bacteroidetes	0.6938		
508458	phylum	2|508458	Bacteria|Synergistetes	0.0000		
1224	phylum	2|1224	Bacteria|Proteobacteria	20.5206		
4890	phylum	2759|4890	Eukaryota|Ascomycota	0.3792		
28889	phylum	2157|28889	Archaea|Crenarchaeota	0.0000		
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	0.0000		
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.0000		
57723	phylum	2|57723	Bacteria|Acidobacteria	0.0000		
1239	phylum	2|1239	Bacteria|Firmicutes	0.1137		
201174	phylum	2|201174	Bacteria|Actinobacteria	18.2523		
67819	phylum	2|67819	Bacteria|Armatimonadetes	0.0000		
200795	phylum	2|200795	Bacteria|Chloroflexi	0.0000		
5204	phylum	2759|5204	Eukaryota|Basidiomycota	0.0061		
1117	phylum	2|1117	Bacteria|Cyanobacteria	0.0000		
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.0000		
28890	phylum	2157|28890	Archaea|Euryarchaeota	0.0000		
35493	phylum	2759|35493	Eukaryota|Streptophyta	0.0161		
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.0000		
204428	phylum	2|204428	Bacteria|Chlamydiae	0.0000		
1913637	phylum	2759|1913637	Eukaryota|Mucoromycota	0.0002		
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.0000		
162480	class	2759|5204|162480	Eukaryota|Basidiomycota|Agaricostilbomycetes	0.0061		
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	0.0000		
183968	class	2157|28890|183968	Archaea|Euryarchaeota|Thermococci	0.0000		
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	0.1137		
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.0000		
219685	class	2|142182|219685	Bacteria|Gemmatimonadetes|Gemmatimonadetes	0.0000		
649775	class	2|508458|649775	Bacteria|Synergistetes|Synergistia	0.0000		
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.0000		
134549	class	2|74201|134549	Bacteria|Verrucomicrobia|Spartobacteria	0.0000		
307596	class	2|1117|307596	Bacteria|Cyanobacteria|Gloeobacteria	0.0000		
147550	class	2759|4890|147550	Eukaryota|Ascomycota|Sordariomycetes	0.1916		
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	0.0000		
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	5.3739		
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	7.1432		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	7.3097		
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.0872		
1077257	class	2|67819|1077257	Bacteria|Armatimonadetes|Chthonomonadetes	0.0000		
1497346	class	2|201174|1497346	Bacteria|Actinobacteria|Thermoleophilia	0.0493		
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.0000		
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.0000		
183924	class	2157|28889|183924	Archaea|Crenarchaeota|Thermoprotei	0.0000		
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.6066		
388447	class	2|200795|388447	Bacteria|Chloroflexi|Ktedonobacteria	0.0000		
