genome_ID	OTU	NCBI_ID	novelty_category
Platanthera_zijinensis_chr	59352	59352	host
Phoma_radicina_MPI-SP2-AT-0466	565429	565429	rfungi
Aspergillus_fumigatus_MPI-SW4-AT-0569	746128	746128	rfungi
Sarocladium_strictum_MPI-IT2-AT-0306	5046	5046	rfungi
Pyrenochaeta_lycopersici_MPI-FR1-AT-0381	285811	285811	rfungi
Peyronellaea_curtisii_MPI-SP2-AT-0415	749631	749631	rfungi
Talaromyces_verruculosus_MPI-SP2-AT-0411	198730	198730	rfungi
Penicillium_canescens_MPI-SW4-AT-0573	5083	5083	rfungi
Cylindrocarpon_pauciseptatum_MPI-SP2-AT-0468	465806	465806	rfungi
Verticillium_dahliae_MPI-FR1-AT-0353	27337	27337	rfungi
Alternaria_tenuis_MPI-SDFR-AT-0071	5599	5599	rfungi
Fusarium_oxysporum_MPI-CAGE-AT-0013	5507	5507	rfungi
Cladosporium_rectoides_MPI-GEGE-AT-0032	887101	887101	rfungi
Gibellulopsis_nigrescens_MPI-SP2-AT-0410	796325	796325	rfungi
Metacordyceps_chlamydosporia_MPI-IT2-AT-0323	280754	280754	rfungi
Ochroconis_tshawytschae_MPI-SP2-AT-0416	262132	262132	rfungi
Phomopsis_columnaris_MPI-SP2-AT-0504	193000	193000	rfungi
Umbelopsis_autotrophica_MPI-SW4-AT-0611	979767	979767	rfungi
Embellisia_chlamydospora_MPI-FR1-AT-0336	247032	247032	rfungi
Phialocephala_fortinii_MPI-SW4-AT-0551	62722	62722	rfungi
Phaeosphaeria_eustoma_MPI-FR1-AT-0339	85909	85909	rfungi
Truncatella_angustata_MPI-SW4-AT-0541	152316	152316	rfungi
Macrophomina_phaseolina_MPI-FR1-AT-0330	35725	35725	rfungi
Rhizopycnis_vagum_MPI-FR1-AT-0346	1589764	1589764	rfungi
Paraphoma_chrysanthemicola_MPI-SDFR-AT-0093	798071	798071	rfungi
Neonectria_radicicola_MPI-CAGE-CH-0236	64609	64609	rfungi
Cryptosporiopsis_ericae_MPI-SW4-AT-0549	1663492	1663492	rfungi
Leptodontidium_orchidicola_MPI-SW4-AT-0643	1732013	1732013	rfungi
Myrothecium_cinctum_MPI-SP2-AT-0408	1860054	1860054	rfungi
Ilyonectria_macrodidyma_MPI-GEGE-AT-0033	307937	307937	rfungi
Hypocrea_atroviridis_MPI-SP2-AT-0434	63577	63577	rfungi
Plectosphaerella_cucumerina_MPI-FR1-AT-0340	40658	40658	rfungi
Tulasnella_calospora_Tulcal1	156515	156515	OMF
Ceratobasidium_sp_CerAGI	305860	305860	OMF
Rhizoctonia_solani_Rhisola1	1287689	1287689	OMF
PRJNA67115	627192	627192	ba_ar
PRJNA217481	1345695	1345695	ba_ar
PRJNA20011	452863	452863	ba_ar
PRJNA186462	1283299	1283299	ba_ar
PRJNA33691	590998	590998	ba_ar
PRJNA33599	591158	591158	ba_ar
PRJNA20399	324057	324057	ba_ar
PRJNA212980	1367847	1367847	ba_ar
PRJNA261945	658612	658612	ba_ar
PRJNA183309	1217712	1217712	ba_ar
PRJNA27951	485918	485918	ba_ar
PRJNA261104	1406	1406	ba_ar
PRJNA183018	1121377	1121377	ba_ar
PRJNA238302	652017	652017	ba_ar
PRJNA42009	694427	694427	ba_ar
PRJNA80827	1131731	1131731	ba_ar
PRJNA171367	1005941	1005941	ba_ar
PRJNA232079	1312959	1312959	ba_ar
PRJNA242829	1927	1927	ba_ar
PRJNA165395	1121917	1121917	ba_ar
PRJNA81617	979226	979226	ba_ar
PRJNA13473	323097	323097	ba_ar
PRJNA186910	1285583	1285583	ba_ar
PRJNA63851	929712	929712	ba_ar
PRJNA18505	456442	456442	ba_ar
PRJNA20391	315750	315750	ba_ar
PRJNA12634	290397	290397	ba_ar
PRJNA17707	404380	404380	ba_ar
PRJNA232351	1439940	1439940	ba_ar
PRJNA42475	443255	443255	ba_ar
PRJNA168616	1121362	1121362	ba_ar
PRJNA182711	1124780	1124780	ba_ar
PRJNA15771	204669	204669	ba_ar
PRJNA256039	236814	236814	ba_ar
PRJNA190819	1298862	1298862	ba_ar
RNODE_165_length_1669_cov_2.37887	45202	45202	pl_vi_unk
RNODE_178_length_3618_cov_3.32119	45202	45202	pl_vi_unk
RNODE_201_length_2438_cov_4.66846	32644	32644	pl_vi_unk
RNODE_241_length_10461_cov_3.82000	1214906	1214906	pl_vi_unk
RNODE_244_length_5333_cov_28.75937	45202	45202	pl_vi_unk
RNODE_250_length_5534_cov_8.34289	32644	32644	pl_vi_unk
RNODE_262_length_4000_cov_14.35495	45202	45202	pl_vi_unk
RNODE_278_length_7999_cov_5.67456	45202	45202	pl_vi_unk
RNODE_288_length_3164_cov_59.95449	45202	45202	pl_vi_unk
RNODE_293_length_11038_cov_5.01480	45202	45202	pl_vi_unk
RNODE_297_length_1810_cov_21.16499	45202	45202	pl_vi_unk
RNODE_327_length_1948_cov_35.31308	32644	32644	pl_vi_unk
RNODE_329_length_4403_cov_3.14905	32644	32644	pl_vi_unk
RNODE_405_length_1632_cov_8.96149	45202	45202	pl_vi_unk
RNODE_41_length_1982_cov_209.61480	45202	45202	pl_vi_unk
RNODE_447_length_1716_cov_15.11213	45202	45202	pl_vi_unk
RNODE_454_length_3059_cov_7.56632	32644	32644	pl_vi_unk
RNODE_45_length_2213_cov_3.74441	32644	32644	pl_vi_unk
RNODE_466_length_2414_cov_22.47806	45202	45202	pl_vi_unk
RNODE_482_length_12608_cov_5.40546	45202	45202	pl_vi_unk
RNODE_4_length_1367_cov_2.97100	32644	32644	pl_vi_unk
RNODE_519_length_4527_cov_27.40475	45202	45202	pl_vi_unk
RNODE_53_length_5801_cov_10.05503	32644	32644	pl_vi_unk
RNODE_567_length_2043_cov_21.53474	32644	32644	pl_vi_unk
RNODE_568_length_4215_cov_4.24868	45202	45202	pl_vi_unk
RNODE_595_length_1522_cov_10.57355	32644	32644	pl_vi_unk
RNODE_59_length_7149_cov_6.99495	45202	45202	pl_vi_unk
RNODE_6_length_1955_cov_9.45784	45202	45202	pl_vi_unk
RNODE_72_length_2497_cov_7.54950	32644	32644	pl_vi_unk
RNODE_86_length_2125_cov_11.11507	32644	32644	pl_vi_unk
